id,ip,timestamp,fl_byt_s,fl_pck_s,fwd_max_pack_size,fwd_avg_packet,bck_max_pack_size,bck_avg_packet,fw_iat_std,fw_iat_min,bck_iat_std,bck_iat_min,anomaly_ae,anomaly_lstm,anomaly_ocsvm,consensus_anomaly
1,10.0.16.2,2025-04-04 10:17:01.269717,60.0,1.0,0,0.0,60,60.0,0.0,0.0,0.25632624081073785,0.2393639087677002,0,0,0,0
2,10.0.16.2,2025-04-04 10:17:06.436123,95.40176465687907,1.5900294109479844,0,0.0,60,60.0,0.0,0.0,0.5072754493262404,0.25389552116394043,0,0,0,0
3,10.0.16.2,2025-04-04 10:17:11.500719,35.73733175673565,0.5956221959455942,0,0.0,60,60.0,0.0,0.0,1.7598309516906738,0.2561192512512207,0,0,0,0
4,10.0.16.2,2025-04-04 10:17:21.627236,23.850848039769005,0.39751413399615004,0,0.0,60,60.0,0.0,0.0,0.0,0.5009477138519287,0,0,0,0
5,10.0.16.2,2025-04-04 10:17:37.461396,23.470911991112217,0.3911818665185369,0,0.0,60,60.0,0.0,0.0,0.0,0.21275949478149414,0,0,0,0
6,10.0.16.2,2025-04-04 10:18:07.922888,23.844093443425358,0.3974015573904226,0,0.0,60,60.0,0.0,0.0,0.0,0.5108451843261719,0,0,0,0
7,10.0.16.2,2025-04-04 10:26:19.037988,7.957322701066723,0.1989330675266681,0,0.0,40,40.0,0.0,0.0,0.0,0.0,0,0,1,0
8,10.0.16.2,2025-04-04 10:26:24.169927,58.752571502233565,1.5879073378982045,0,0.0,40,37.0,0.0,0.0,0.0006617920247703183,0.0009179115295410156,0,0,0,0
9,10.0.16.2,2025-04-04 10:26:54.639304,58.7455880501984,1.5877185959513083,0,0.0,40,37.0,0.0,0.0,0.7049426838835962,0.0003108978271484375,0,0,0,0
10,10.0.16.2,2025-04-04 10:27:20.808548,58.81861821627383,1.5896923842236172,0,0.0,40,37.0,0.0,0.0,0.7020279436341472,0.0004105567932128906,0,0,0,0
11,10.0.16.2,2025-04-04 10:27:41.043053,11.934332920138667,0.19890554866897778,0,0.0,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0
12,10.33.102.43,2025-04-04 10:26:19.037988,8.0,0.2,40,40.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
13,10.33.102.43,2025-04-04 10:26:24.169927,58.753074752992596,1.5879209392700702,40,37.0,0,0.0,0.0006617920247703183,0.0009179115295410156,0.0,0.0,0,0,0,0
14,10.33.102.43,2025-04-04 10:26:54.639304,58.745921616836114,1.587727611265841,40,37.0,0,0.0,0.7049426838835962,0.0003108978271484375,0.0,0.0,0,0,0,0
15,10.33.102.43,2025-04-04 10:27:20.808548,58.819078012453964,1.5897048111474044,40,37.0,0,0.0,0.7020279436341472,0.0004105567932128906,0.0,0.0,0,0,0,0
16,10.33.102.43,2025-04-04 10:27:41.043053,11.93440536335909,0.19890675605598482,60,60.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
17,10.33.102.43,2025-04-04 10:46:10.611735,7.933068217077576,0.1983267054269394,40,40.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
18,104.17.25.14,2025-04-04 10:31:49.155762,1477.0,3.2,1228,538.125,1278,385.0,0.11273192696301462,0.0003681182861328125,0.11734622362508981,0.0003821849822998047,0,0,0,0
19,104.18.20.157,2025-04-04 10:12:25.120917,2442.8,10.8,1324,229.83333333333334,1051,223.26666666666668,0.11111447866895623,0.0003707408905029297,0.11543066302524932,0.00030684471130371094,0,0,0,0
20,104.18.20.157,2025-04-04 10:13:11.994010,41.30378841542704,0.7943036233735971,52,52.0,52,52.0,0.0,0.9670259952545166,0.0,1.08841872215271,0,0,0,0
21,104.18.20.157,2025-04-04 10:13:57.432077,20.64920575319811,0.3971001106384252,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
22,104.18.20.157,2025-04-04 10:14:02.459544,1066.5764193857046,6.773178606483743,132,78.8125,1050,227.38888888888889,0.3241903184514838,0.0006597042083740234,0.2709227695183361,0.00045108795166015625,0,0,0,0
23,104.18.20.157,2025-04-04 10:14:07.504400,10.343691878513017,0.19891715150986572,52,52.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
24,104.18.20.157,2025-04-04 10:14:32.795220,735.9682660515452,3.574589527503458,132,78.11111111111111,1324,333.6666666666667,0.11377667886765178,0.001173257827758789,0.08459041273197487,0.000545501708984375,0,0,0,0
25,104.18.20.157,2025-04-04 10:15:19.677091,20.69156511358674,0.39791471372282194,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
26,104.18.20.157,2025-04-04 10:16:05.638952,20.692859802440243,0.3979396115853893,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
27,104.18.20.157,2025-04-04 10:16:56.146560,574.3073674292566,3.95664738153122,132,78.11111111111111,1050,200.0,1.3993260952613353,0.00040721893310546875,1.251530814452793,0.0004296302795410156,0,0,0,0
28,104.18.20.157,2025-04-04 10:17:01.269717,537.5728713588893,3.574551785910605,132,77.11111111111111,994,223.66666666666666,0.15685174149636277,0.0005335807800292969,0.16831811054444581,0.0010833740234375,0,0,0,0
29,104.18.20.157,2025-04-04 10:17:42.655256,10.3093837908592,0.19825738059344616,0,0.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
30,104.18.20.157,2025-04-04 10:17:47.707909,10.338852853909676,0.19882409334441686,52,52.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
31,104.18.20.157,2025-04-04 10:18:33.297246,20.648869501233893,0.39709364425449795,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
32,104.18.20.157,2025-04-04 10:18:43.479590,758.2933982109816,3.9742840577095473,132,78.11111111111111,1324,283.0,0.14221324478202765,0.0005517005920410156,0.0835183379905898,0.00031566619873046875,0,0,0,0
33,104.18.20.157,2025-04-04 10:19:29.342001,20.61530633777273,0.3964481988033217,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
34,104.18.20.157,2025-04-04 10:20:01.170555,760.3540914364196,3.963273867273493,131,80.55555555555556,1324,282.90909090909093,0.13355398673140373,0.0005211830139160156,0.12284083326464171,0.0003399848937988281,0,0,0,0
35,104.18.20.157,2025-04-04 10:20:47.838986,20.625981265580926,0.3966534858765563,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
36,104.18.20.157,2025-04-04 10:21:34.213602,20.678181112200306,0.39765732908077517,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
37,104.18.20.157,2025-04-04 10:22:04.608096,1666.5809850631208,7.1544139592502205,132,77.11111111111111,1324,388.77777777777777,0.27707163834317866,0.0003216266632080078,0.28243692832230105,0.00030684471130371094,0,0,0,0
38,104.18.20.157,2025-04-04 10:22:50.393112,20.593418888792474,0.3960272863229322,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
39,104.18.20.157,2025-04-04 10:23:41.141619,20.69085550829861,0.397901067467281,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
40,104.18.20.157,2025-04-04 10:24:26.715119,20.64663917679188,0.3970507533998438,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
41,104.18.20.157,2025-04-04 10:25:12.982006,20.629127071643442,0.3967139821469893,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
42,104.18.20.157,2025-04-04 10:25:58.766937,20.636287478429733,0.39685168227749484,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
43,104.18.20.157,2025-04-04 10:26:49.580193,20.66992492664603,0.3974985562816544,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
44,104.18.20.157,2025-04-04 10:27:30.935593,20.692219799528054,0.3979273038370779,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
45,104.18.20.157,2025-04-04 10:28:21.594884,20.659175123188007,0.39729182929207707,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
46,104.18.20.157,2025-04-04 10:28:36.813856,864.1994531823367,2.5779240228018305,131,81.8,1324,493.625,0.004267051682537727,0.0005092620849609375,0.08113234114696129,0.00044274330139160156,0,0,0,0
47,104.18.20.157,2025-04-04 10:28:41.997949,1011.1033840356343,4.768418395923605,132,73.53846153846153,1324,375.72727272727275,0.3049022581574896,0.0004894733428955078,0.3445345987905199,0.0004551410675048828,0,0,0,0
48,104.18.20.157,2025-04-04 10:29:25.028168,20.678085049346617,0.39765548171820414,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
49,104.18.20.157,2025-04-04 10:30:11.557973,20.70992969191835,0.3982678786907375,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
50,104.18.20.157,2025-04-04 10:30:57.493914,20.696354995219092,0.3980068268311364,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
51,104.18.20.157,2025-04-04 10:31:44.033694,981.8085419120038,4.178755447943267,132,78.6,1324,377.09090909090907,0.12413889382777564,0.00034427642822265625,0.12419543686140513,0.0003705024719238281,0,0,0,0
52,104.18.20.157,2025-04-04 10:32:30.404600,20.700501667566662,0.39808657053012814,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
53,104.18.20.157,2025-04-04 10:33:16.266837,20.68997617563804,0.3978841572238085,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
54,104.18.20.157,2025-04-04 10:34:02.691103,982.7073695594388,4.373773443315326,132,75.4,1324,349.0833333333333,0.09252568561633151,0.0009737014770507812,0.09338100289975003,0.00045228004455566406,0,0,0,0
55,104.18.20.157,2025-04-04 10:34:53.440632,20.69595632650627,0.3979991601251206,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
56,104.18.20.157,2025-04-04 10:35:34.092184,20.677132311000825,0.3976371598269389,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
57,104.18.20.157,2025-04-04 10:35:54.367441,983.6005103871954,4.377748579510075,132,75.4,1324,349.0833333333333,0.13460543561818886,0.0005438327789306641,0.08479750039060345,0.0005040168762207031,0,0,0,0
58,104.18.20.157,2025-04-04 10:36:40.316188,20.692826427076827,0.3979389697514774,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
59,104.18.20.157,2025-04-04 10:37:27.068078,20.538381336370815,0.3949688718532849,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
60,104.18.20.157,2025-04-04 10:38:13.016103,20.65377849829576,0.39718804804414926,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
61,104.18.20.157,2025-04-04 10:38:28.192165,1912.3585336089134,7.948289832123497,132,77.22222222222223,1324,374.27272727272725,0.16941869627699074,0.0004074573516845703,0.18960535778866683,0.00031065940856933594,0,0,0,0
62,104.18.20.157,2025-04-04 10:39:13.994871,20.695010777158572,0.3979809764838187,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
63,104.18.20.157,2025-04-04 10:40:04.696558,20.684626223190712,0.3977812735228983,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
64,104.18.20.157,2025-04-04 10:40:45.372259,10.35218053887641,0.19908039497839253,0,0.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
65,104.18.20.157,2025-04-04 10:40:50.473924,10.310367756502202,0.19827630300965773,52,52.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
66,104.18.20.157,2025-04-04 10:41:36.615848,20.66922561932794,0.3974851080639988,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
67,104.18.20.157,2025-04-04 10:42:21.997310,20.682365613554992,0.3977378002606729,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
68,104.18.20.157,2025-04-04 10:43:13.119543,20.59887253128334,0.39613216406314117,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
69,104.18.20.157,2025-04-04 10:43:55.750165,20.65391051908687,0.3971905869055168,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
70,104.18.20.157,2025-04-04 10:44:46.425097,20.639898356189974,0.39692112223442255,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
71,104.18.20.157,2025-04-04 10:45:12.398152,100.87376283885848,1.7906585119323992,91,59.8,64,52.0,0.20368285161491345,0.0006015300750732422,0.1940178415935939,0.1794757843017578,0,0,0,0
72,104.18.20.157,2025-04-04 10:46:31.276942,2697.8057050336447,10.867890850131873,573,119.41666666666667,1324,347.96774193548384,0.1588135426947431,0.0003802776336669922,0.1511097300971686,0.00028705596923828125,0,0,0,0
73,104.18.20.157,2025-04-04 10:47:18.452296,20.66854398714839,0.39747199975285363,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
74,104.18.20.157,2025-04-04 10:48:04.450414,20.670387239817465,0.39750744691956663,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
75,104.18.20.157,2025-04-04 10:48:50.534601,20.71656580617165,0.3983954962725318,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
76,104.18.20.157,2025-04-04 10:49:41.368435,20.72074223613947,0.39847581223345135,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
77,104.18.20.157,2025-04-04 10:50:27.037584,20.63643880137216,0.39685459233408005,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
78,104.18.20.157,2025-04-04 10:51:12.761256,20.639503812658276,0.39691353485881303,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
79,104.18.20.157,2025-04-04 10:51:57.042556,17.165848161476102,0.3301124646437712,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
80,104.18.21.157,2025-04-04 09:19:52.551636,2710.2,13.6,573,122.45454545454545,1324,271.7142857142857,0.15723229373050412,0.0003180503845214844,0.15773517101666218,0.0003230571746826172,0,0,0,0
81,104.18.26.90,2025-04-04 09:19:17.065677,20.8,0.4,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
82,104.18.26.90,2025-04-04 09:19:47.438903,500.49863700865524,4.160915034513761,378,109.0,309,132.7,0.14568907660688532,0.0005207061767578125,0.1935622272698915,0.0004622936248779297,0,0,0,0
83,104.18.26.90,2025-04-04 09:19:52.551636,1170.9016643136233,6.771671472472052,760,136.35,1324,225.14285714285714,0.16781485565465257,0.0002415180206298828,0.206562750250332,0.0006740093231201172,0,0,0,0
84,104.18.27.90,2025-04-04 10:12:20.071945,3148.8,10.6,1324,476.57894736842104,1324,196.73529411764707,0.04920748816728641,0.0006918907165527344,0.05637885183436678,0.00045180320739746094,0,0,0,0
85,104.18.27.90,2025-04-04 10:12:25.120917,1656.2010147433607,9.152480379408289,580,171.07407407407408,1250,195.0,0.20191540571816416,0.00040793418884277344,0.24012186522146392,0.00034880638122558594,0,0,0,0
86,104.18.27.90,2025-04-04 10:12:36.488136,625.3207709602362,0.9935188607566512,0,0.0,940,629.4,0.0,0.0,0.476262746987587,0.0009832382202148438,0,0,0,0
87,104.18.27.90,2025-04-04 10:12:41.536498,304.94728785587546,1.78796455420383,183,77.57142857142857,940,496.0,0.05993674490423972,0.0004203319549560547,0.0,2.733619451522827,0,0,1,0
88,104.18.27.90,2025-04-04 10:12:46.639662,118.02603159224225,1.1921821372953763,264,122.66666666666667,87,75.33333333333333,0.11420762538909912,0.0006487369537353516,0.0026007890701293945,0.00046539306640625,0,0,0,0
89,104.18.27.90,2025-04-04 10:12:51.714646,4253.643696081498,23.56753886924752,726,275.8235294117647,87,53.372549019607845,0.13170847055149532,0.0005085468292236328,0.18572595474395096,0.0009357929229736328,0,0,0,0
90,104.18.27.90,2025-04-04 10:12:56.797841,6013.296431040412,34.10112054530006,564,269.38775510204084,87,53.108108108108105,0.0798770133405507,0.00038123130798339844,0.0874717758440718,0.0005159378051757812,0,0,0,0
91,104.18.27.90,2025-04-04 10:13:01.859216,4735.081140760157,24.437333961880555,1103,300.1,87,53.320754716981135,0.0735416340978102,0.0004477500915527344,0.07112345731811735,0.0005848407745361328,0,0,0,0
92,104.18.27.90,2025-04-04 10:13:06.923984,5656.135585253832,30.55547339702845,422,269.32978723404256,87,53.166666666666664,0.09289268234176515,0.0003504753112792969,0.10989994770011349,0.0005540847778320312,0,0,0,0
93,104.18.27.90,2025-04-04 10:13:11.994010,6631.639067728868,37.13368384433161,558,272.4672897196262,87,53.025,0.07791730417753934,0.0003466606140136719,0.08600927614402214,0.000335693359375,0,0,0,0
94,104.18.27.90,2025-04-04 10:13:17.061740,4201.88671281345,24.09612759480699,558,275.3030303030303,87,53.27272727272727,0.039086368006756855,0.00030040740966796875,0.0348733604972398,0.0003535747528076172,0,0,0,0
95,104.18.27.90,2025-04-04 10:13:57.432077,20.649198910752474,0.39709997905293215,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
96,104.18.27.90,2025-04-04 10:14:02.459544,782.1026950345987,7.37080991245037,378,99.25,271,114.17647058823529,0.20702782361936367,0.0006108283996582031,0.2658787059393618,0.0005018711090087891,0,0,0,0
97,104.18.27.90,2025-04-04 10:14:22.647424,685.2228639722264,3.179688463908243,264,102.0,1324,329.0,0.10891247609629652,0.0012354850769042969,0.10492604220268449,0.0005428791046142578,0,0,0,0
98,104.18.27.90,2025-04-04 10:14:27.708382,4074.702296901653,19.871749802007574,725,319.280701754386,87,53.627906976744185,0.17736986894763085,0.00036978721618652344,0.1945399534376224,0.00037741661071777344,0,0,0,0
99,104.18.27.90,2025-04-04 10:14:32.795220,6136.376364561871,33.1642347210949,557,268.70103092783506,308,69.08571428571429,0.08899847822555378,0.00036072731018066406,0.10018776926868887,0.00038743019104003906,0,0,0,0
100,104.18.27.90,2025-04-04 10:14:37.871876,5373.922451433787,27.851373161097627,715,310.7236842105263,87,53.09375,0.06914300135831003,0.0005171298980712891,0.0966168800315781,0.0003941059112548828,0,0,0,0
101,104.18.27.90,2025-04-04 10:14:43.087050,6183.54686164676,32.191917385591644,569,308.3076923076923,87,52.921052631578945,0.054904192434096936,0.0004642009735107422,0.05798446303057682,0.0008165836334228516,0,0,0,0
102,104.18.27.90,2025-04-04 10:14:48.703233,5553.7834807233,26.310145954949927,792,324.43529411764706,87,53.14754098360656,0.04900781971911348,0.00040149688720703125,0.05526182467811887,0.0005688667297363281,0,0,0,0
103,104.18.27.90,2025-04-04 10:14:53.802266,4177.913099925934,20.629710492464966,555,325.4035087719298,87,53.48936170212766,0.08322764181063454,0.0006747245788574219,0.08538367889528921,0.0009446144104003906,0,0,0,0
104,104.18.27.90,2025-04-04 10:14:58.871083,167.40575784616038,1.1915000558445579,159,87.66666666666667,441,193.33333333333334,0.1072777509689331,0.2252497673034668,0.22380244731903076,0.0005860328674316406,0,0,0,0
105,104.18.27.90,2025-04-04 10:15:09.591382,450.0431876622265,0.993034394665107,785,296.3333333333333,1290,688.5,0.06194031238555908,0.14786744117736816,0.0,0.4171485900878906,0,0,0,0
106,104.18.27.90,2025-04-04 10:15:14.635684,99.91104961836761,0.9931515866636939,159,87.66666666666667,153,120.0,0.02099478244781494,0.1937875747680664,0.0,0.4244832992553711,0,0,0,0
107,104.18.27.90,2025-04-04 10:16:00.607878,20.65342645110396,0.3971812779058454,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
108,104.18.27.90,2025-04-04 10:16:05.638952,164.54798255549818,1.9896974916021544,158,81.0,140,84.4,0.10754580593765105,0.0010645389556884766,0.14465185768337474,0.0006597042083740234,0,0,0,0
109,104.18.27.90,2025-04-04 10:16:51.067866,20.69016361639911,0.39788776185382907,52,52.0,52,52.0,0.0,0.0,0.0,0.0,0,0,1,0
110,104.18.27.90,2025-04-04 10:16:56.146560,893.2129357301917,7.517628251992754,378,116.15789473684211,275,121.47368421052632,0.08894049651857508,0.00025582313537597656,0.10761937357734327,0.00034165382385253906,0,0,0,0
111,104.18.27.90,2025-04-04 10:17:01.269717,10.326473647521896,0.19858603168311337,52,52.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
112,104.18.27.90,2025-04-04 10:17:06.436123,511.1921301502214,2.3850332666417793,172,84.42857142857143,1324,396.2,0.07690835889062422,0.00047588348388671875,0.2072536175716245,0.0022470951080322266,0,0,0,0
113,104.18.27.90,2025-04-04 10:17:27.169331,296.50304385280174,2.984929971672501,159,84.71428571428571,299,112.125,0.16918327051354917,0.00034809112548828125,0.13102532162628883,0.0003342628479003906,0,0,0,0
114,104.18.27.90,2025-04-04 10:17:52.753200,164.77709353745183,1.9900615161528001,159,81.2,140,84.4,0.12068953923794076,0.0005080699920654297,0.16960466817586214,0.0006177425384521484,0,0,0,0
115,104.18.27.90,2025-04-04 10:18:07.922888,796.3903818642412,4.371404291669987,264,100.36363636363636,1324,264.0,0.3905865651218978,0.0003266334533691406,0.4423466916026325,0.0004696846008300781,0,0,0,0
116,104.18.27.90,2025-04-04 10:18:12.977896,678.6132564456359,3.975473089898277,250,216.57142857142858,87,63.666666666666664,0.28118883417841833,0.0004894733428955078,0.5568012707697815,0.0006394386291503906,0,0,0,0
117,104.18.27.90,2025-04-04 10:18:18.028621,6559.345803863886,37.188784080360996,710,277.13592233009706,87,52.833333333333336,0.04457147434850497,0.0004680156707763672,0.04302700536653704,0.0005145072937011719,0,0,0,0
118,104.18.27.90,2025-04-04 10:18:23.130852,6306.834803073441,35.93015955922989,804,262.27358490566036,87,52.93333333333333,0.10537406236285907,0.00033736228942871094,0.12039014917938397,0.0006229877471923828,0,0,0,0
119,104.18.27.90,2025-04-04 10:18:28.213764,5899.997045492462,29.446265688705886,1027,297.9325842696629,87,53.186440677966104,0.05965791997620753,0.00031185150146484375,0.056182033465094317,0.002084016799926758,0,0,0,0
120,104.18.27.90,2025-04-04 10:18:33.297246,5676.253754304671,29.58346949495946,1324,311.6375,87,53.01449275362319,0.08721491625090882,0.0003719329833984375,0.09041263738879925,0.0006923675537109375,0,0,0,0
121,104.18.27.90,2025-04-04 10:18:38.360973,6200.8391108630285,32.957841073362665,563,284.2680412371134,87,53.01449275362319,0.04796501925293075,0.00033783912658691406,0.04235212992885758,0.00043511390686035156,0,0,0,0
122,104.18.27.90,2025-04-04 10:18:43.479590,6564.323112125024,35.3711180589167,751,282.8989898989899,225,63.63291139240506,0.07131905692929005,0.00031256675720214844,0.06823343636463955,0.00031185150146484375,0,0,0,0
